Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Laurentia_plon,Laurentia_plat,Duluth_plat,,
Baltica,Hunnedalen Dykes,8299,,,0,58.9,7.0,6,69,294.0,-75.0,75.0,115.0,6.0,-41.0,222.0,10.0,11.0,10.5,0or100,4,1,1,1,1,1,1,0,1,1,1,6,B,848,821,875,", GPMDB4.6",Hunnedalen Dykes,"Walderhaug,H.J., Torsvik,T.H., Eide,E.A., Sundvoll,B., Bingen,B.",1999,Earth Planet.Sci.Letters,169,71-83,"Geochronology and palaeomagnetism of the Hunnendalen dykes, SW Norway: implications for the Sveconorwegian apparent polar wander loop",,,,,
Baltica,MEAN Rogaland igneous cx,NEW,"unit-weighted mean of all sites from (Brown+McEnroe 04, Walderhaug+07)",C*+,0,58.3,6.9,19,100,310.1,-79.7,79.7,39.0,5.4,-43.2,207.9,10.1,10.1,10.1,0or100,4,1,1,1,1,1,1,1,0,0,1,5,B,903,870,935,"range, ",MEAN Rogaland igneous cx,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,
Baltica,Bratton and Algon Igneous Rocks,909,,,0,57.9,11.7,11,65,300.4,-23.8,23.8,89.0,4.9,5.0,249.0,3.0,5.0,3.9,0or100,3,1,1,1,1,1,1,0,0,0,1,4,B,916,905,927,"916±11, 916±11, see Pisarevsky+Bylund 06",Bratton and Algon Igneous Rocks,"Stearn,J.E.F., Piper,J.D.A.",1984,Precambrian Res.,23,201-246,Palaeomagnetism of the Sveconorwegian mobile belt of the Fennoscandian Shield,,,,,
Baltica - Fennoscandia,Bjerkreim-Sokndal layered intrusion,10798,,,,58.5,6.1,66,354,303.4,-74,74,24,3.7,-35.9,217.9,6,6.6,6.3,0or100,AF + TH,1,1,1,1,1,1,0,1,0,1,5,B,921,904,938,"916 +12/-14, 931± 7 (U-Pb)",,"Brown, L.L., McEnroe, S.A.",2015,Geophys. J. Int.,203,567-587,916 Ma Pole for southwestern Baltica: palaeomagnetism of the Bjerkreim-Sokndal layered intrusion  Rogaland Igneous Complex  southern Norway,,,,,
Baltica,Dykes of central and southern Sweden,new,includes data from Göteborg dykes,C+,0,58.4,14.2,10,115,308.5517214,-38.88916231,38.9,1000.0,0.1,-0.9,240.7,6.7,6.7,6.7,MIXED,AF+TH,1,1,1,1,1,1,1,1,1,1,7,A,945,935,955,"939 ± 3, 939 ± 3",Dykes of central and southern Sweden,"Elming, S-Ã…., Pisarevsky,  S.A., Layer, P., Bylund, G.",2014,Precambrian Res.,244,192-206,A palaeomagnetic and 40Ar/39Ar study of mafic dykes in southern Sweden: A new Early Neoproterozoic key-pole for the Baltic Shield and implications for Sweconorwegian and Grenville loops,,,,,
Baltica,MEAN Blekinga dolerites,NEW,"unit-mean of entries 52,53,54b,55 in Table 1 of Bylund 1992",,0,56.1,15.0,4,22,309.0,-16.4,16.4,0.1,21.6,13.0,247.0,16.0,16.0,16.0,25or75,3,1,0,0,0,0,1,0,1,1,1,5,B,950,946,954,,MEAN Blekinga dolerites,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,
Baltica,Laanila-Ristijarvi Dykes,8275,,C+,0,68.7,28.1,3,54,355.5,-40.0,40.0,50.5,17.5,-2.1,212.2,13.8,13.8,13.8,0,4,0,1,1,0,0,1,1,1,0,0,3,B,1044,992,1095,", GPMDB4.6",Laanila-Ristijarvi Dykes,"Mertanen,S., Pesonen,L.J., Huhma,H.",1996,Geol.Soc.London Spec.Publ. (Precambrian Evolution etc),112,331-358,"Palaeomagnetism and Sm-Nd ages of the Neoproterozoic dykes in Laanila and Kautokeno, northern Fennoscandia",,,,,
Baltica,MEAN Bamble Intrusions,NEW,"site-level weighting on 7 components (A1N,A2N,A2R,A3N from Stearn+Piper 84; B3,B4,B5 from Piper 2009)",,0,58.9,9.5,65,1000.0,316.7,-59.1,59.1,0.1,1000.0,-15.1,222.5,19.3,19.3,19.3,MIXED,4.0,0,1,0,0,0,1,0,0,1,0,2,C+,1048,975,1120,,MEAN Bamble Intrusions,"Stearn,J.E.F., Piper,J.D.A.",1984,Precambrian Res.,23,201-246,Palaeomagnetism of the Sveconorwegian mobile belt of the Fennoscandian Shield,,,,,
Baltica,Salla Dyke (width 60-100 m),new,,C+,0,66.8,28.8,15,191,44.7,75.1,75.1,66.2,4.7,70.6,111.6,8.0,8.2,8.1,0or100,4,1,1,1,1,1,1,1,1,0,0,5,B,1122,1119,1127,1122±5,Salla Dyke VGP,"Salminen, J., Pesonen, L.J., Mertanen, S., Vuollo, J., ",2009,Geol. Soc. London Sp. Pub.,323,,"Palaeomagnetism of the Salla Diabase Dyke, northeastern Finland and its implication to the Baltica - Laurentia entity during the Mesoproterozoic",,,,,
Baltica,MEAN post-Jotnian intrusions,NEW,unit-weighted mean of the five complex means in Table 3 of Elming+Mattsson,C+,0,62.4,18.1,53,938,43.0,-40.1,40.1,1000.0,0.1,-1.8,159.1,3.4,3.4,3.4,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,1258,1246,1270,"1246-1270, Soderlund+06 PC Res",MEAN post-Jotnian intrusions,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,
Baltica,Mashak,39319,,C+,100,54,57,4,55,50.8,-38.8,38.8,33.5,16.1,1.8,193,14.8,14.8,14.8,mixed,AF+TH,1,1,1,0,0,1,1,1,1,0,5,B,1376,1366,1385,"1375.5, 1366 ± 6, 1384 ± 3",Mashak suite,"Lubnina, N.V.",2009,Dokl. Earth Sci.,428,1174-1178,The East European Craton in the Mesoproterozoic: New Key Paleomagnetic Poles,,,,,
Baltica,"Lake Ladoga basalt, sill, dykes",100357,,C+,0,61.5,31.2,12,278,32.5,-16.7,16.7,168.6,7.1,15.2,177.1,5.5,5.5,5.5,85,AF+TH,1,1,1,1,1,1,1,1,1,0,6,A,1452,1440,1464,"1452, U-Pb 1452 ± 12, 1459±3, 1457±2","Lake Ladoga basalt, sill, dykes","Lubnina, N.V., Mertanen, S., SÃ¶derlund, U., Bogdanova, S., Vasilieva, T.I., Frank-Kamenetsky, D.",2010,Precambrian Res.,183,442-462,A new key pole for the East European Craton at 1452 Ma: Palaeomagnetic and geochronological constraints from mafic rocks in the Lake Ladoga region (Russian Karelia),,,,,
