Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Laurentia_plon,Laurentia_plat,Duluth_plat,,
Baltica-Fennoscandia,Konchozero Sill,8296,Component I,C+,0,62.1,34.0,,11,103.0,40.0,40.0,17.9,11.1,-14.2,281.9,8.0,13.4,10.4,0,4,1,0,1,1,0,1,1,1,0,1,5,B,1974,1947,2001,", GPMDB4.6",Konchozero Sill,"Pisarevsky,S.A., Sokolov,S.J.",1999,Precambrian Res.,93,201-213,"Palaeomagnetism of the Palaeoproterozoic ultramafic intrusion near Lake Konchozero, Southerm Karelia, Russia",,,,,
Baltica - Karelia,Onego 1975 Ma Intrusions,,,C+,0,62.1,34,10,191,83.9,66.2,66.2,141,4.1,44.4,101.5,6.3,6.3,6.3,0,AF+TH,1,1,1,1,1,1,1,1,0,0,5,A,1976,1967,1985,"1970± 3 (U-Pb), 1976± 9 Ma (U-Pb)",Onega,"Lubnina, N.V., Pisarevsky, S.A., Stepanova, A.V., Bogdanova, S.V., Sokolov, S.J.",2017,Precambrian Res.,292,1--12,Fennoscandia before Nuna/Columbia: Paleomagnetism of 1.98–1.96 Ga maﬁc rocks of the Karelian craton and paleogeographic implications,,,,,
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,new,Group B,,0,50.9,27.4,7,92,30.2,52.6,52.6,2.8,11.1,64.4,140.4,12.7,12.7,12.7,0,4,1,1,0,1,0,1,0,1,0,1,4,B,2000,1990,2010,"2000, 2000, Bukinsky quarry, U-Pb",Volyn-Dniestr-Bug intrusions,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",2010,Precambrian Res.,178,119-135,"Proterozoic Basic dykes in the Ukrainian Shield: A palaeomagnetic, geochronologic and geochemical study â€” The accretion of the Ukrainian Shield to Fennoscandia",,,,,
Baltica-Fennoscandia,Kuetsyarvi Formation,7649,A Component,G+,,69.5,29.5,10,64,278.0,41.0,41.0,6.8,19.9,24.7,300.8,13.0,20.7,16.4,0r100,4,1,1,0,0,0,1,1,1,0,1,5,B,2060,2052,2068,"2058±6, 2058±6, Melezhik+07",Kuetsyarvi Formation,"Torsvik, T.H. and Meert, J.",1995,Geophys. J. International,122,520-536,Early Proterozoic palaeomagnetic data from the Pechenga Zone (north-west Russia) and their bearing on Early Proterozoic palaeogeography,,,,,
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions A-group,new,Group A,C+,0,49.6,29.8,3,41,27.7,-36.8,36.8,1000,0.1,15.7,182.9,13.7,13.7,13.7,0,4,1,1,1,1,1,1,1,1,0,0,5,B,2061,2041,2081,"2061 ± 20, Ar-Ar, 2061 ± 20, Ar-Ar",Volyn-Dniestr-Bug intrusions A-pole,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",2010,Precambrian Res.,178,119-135,"Proterozoic Basic dykes in the Ukrainian Shield: A palaeomagnetic, geochronologic and geochemical study â€” The accretion of the Ukrainian Shield to Fennoscandia",,,,,
Baltica-Fennoscandia,Taivalkoski 2.3 Ga dyke,new,AD',,0,65.5,28.1,1,9,134.5,-7.3,7.3,35.2,8.8,20.4,257.3,6.3,6.3,6.3,0,AF+TH,1,0,1,1,0,1,0,1,0,1,4,C+,2339,2321,2357,"2339 ± 18, 2339 ± 18",Taivalkoski dyke,"Salminen, J., Halls, H.C., Mertanen, S., Pesonen, L.J., Vuollo, J., SÃ¶derlund, U.",2014,Precambrian Res.,244,87-99,"Paleomagnetic and geochronological studies on Paleoproterozoic diabase dykes of Karelia, East Finlandâ€”Key for testing the Superia supercraton",,,,,
Baltica-Fennoscandia,Karelian Dykes,8464,D Component,C-,0,66.0,30.7,11,69,102.1,45.2,45.2,67.3,5.6,-19.9,278.7,6.1,6.1,6.1,0,4,1,1,1,1,1,1,0,1,0,1,5,B,2446,2441,2451,"2446±5, 2446±5, GPMDB4.6",Karelian Dykes,"Mertanen,S., Halls,H.C., Vuollo,J.I., Pesonen,L.J., Stepanov,V.S.",1999,Precambrian Res.,98,197-221,Paleomagnetism of 2.44 Ga mafic dykes in Russian Karelia,,,,,
Baltica-Fennoscandia,Imandra Layered Intrusion,8951,Component D,Ro,0,67.6,33.1,17,25,102.6,39.7,39.7,16.0,8.4,-16.1,280.3,6.1,10.1,7.8,29or71,4,1,1,1,1,1,1,0,1,1,1,6,B,2446,2407,2485,", GPMDB4.6",Imandra Layered Intrusion,"Arestova, N.A., Khramov, A.N., Gooskova, E.G., Iosifidi, A.G.",2002,Fizika Zemli,38,65-76,"New paleomagnetic evidence from the Early Proterozoic (2.5-2.4 Ga) Mount Generalskaya and Imandra layered intrusions, Kola Peninsula",,,,,
Baltica-Fennoscandia,Avdeev gabbronorite and thin Shalskiy diabase dyke,new,D component,C*+,0,61.9,36.1,4,28,146.1,55.4,55.4,63.2,11.6,-12.3,243.5,11.8,16.5,14.0,100,4,1,1,1,1,1,1,1,1,0,0,5,B,2476,2441,2510,", GPMDB4.6",Avdeev gabbronorite and thin Shalskiy diabase dyke,"Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",2006,Precambrian Res.,144,239-260,"Early Paleoproterozoic–Archean dykes and gneisses in Russian Karelia of the Fennoscandian Shield—New paleomagnetic, isotope age and geochemical investigations",,,,,
Baltica-Fennoscandia,Monchegorsk Intrusion,9225,,R-,0,68.0,33.0,,50,306.0,-23.0,23.0,57.6,13.0,1.3,265.3,7.0,14.0,9.9,46or54,4,1,1,1,1,1,1,0,0,1,0,4,B,2504,2502,2506,"2504.4±1.5, 2504.4±1.5, Amelin+95",Monchegorsk Intrusion,"Pechersky,D.M., Zakharov,V.S., Lyubushin,A.A.",2004,Russian Journal of Earth Sciences,6,391-456,"Continuous record of geomagnetic field variations during cooling of the Monchegorsk, Kivakka and Bushveld Early Proterozoic layered intrusions",,,,,
Baltica-Fennoscandia,Generalskaya Layered Intrusion,8947,Component D,Ro,0,69.4,31.0,17,27,79.3,61.0,61.0,18.9,7.8,-42.5,292.7,9.1,11.9,10.4,18or82,4,1,1,1,1,1,1,0,1,1,0,5,B,2505,2503,2507,"2505±2, 2505±2, Amelin+95",Generalskaya Layered Intrusion,"Arestova, N.A., Khramov, A.N., Gooskova, E.G., Iosifidi, A.G.",2002,Fizika Zemli,38,65-76,"New paleomagnetic evidence from the Early Proterozoic (2.5-2.4 Ga) Mount Generalskaya and Imandra layered intrusions, Kola Peninsula",,,,,
Baltica-Fennoscandia,Shalskiy thick gabbronorite dyke,new,D' component,C*+,0,61.9,36.1,1,5,174.0,10.4,10.4,23.8,16.0,22.7,222.1,8.2,16.2,11.5,100,4,1,0,1,1,0,1,1,1,0,1,5,B,2511,2509,2512,"2510.6±1.5, 2510.6±1.5,Bleeker+08 Oslo abst",Shalskiy thick gabbronorite dyke,"Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",2006,Precambrian Res.,144,239-260,"Early Paleoproterozoic–Archean dykes and gneisses in Russian Karelia of the Fennoscandian Shield—New paleomagnetic, isotope age and geochemical investigations",,,,,
Baltica-Fennoscandia-Karelia,Koitere sanukitoids,new,,,0,63.3,30.6,5,28,133.9,-85.1,85.1,49.9,10.9,-67.5,192.5,19.5,19.5,19.5,100,AF+TH,1,1,1,1,1,1,0,0,0,1,4,B,2684,2682,2686,"2684 ± 2, 2684 ± 2",Koitere sanukitoids,"Mertanen, S., Korhonen, F.",2011,Precambrian Res.,186,193-204,Paleomagnetic constraints of an Archean-Paleoproterozoic Superior-Karelia connection: New evidence from Archean Karelia,,,,,
