site,site_lat,site_lon,n_samples,n_specimens,NRM,dec_is,inc_is,k,alpha_95
5,65.72,-118.13,6,12,2,132.1,64.6,53,6
6,65.72,-118.08,5,10,0.07,168,65.3,39,7.9
8,65.7,-118.13,6,11,13.1,147.2,51.3,117,4.2
9,65.68,-118.15,6,12,6.45,143.5,49.7,107,4.2
10,65.63,-117.88,6,12,2.91,143.4,68.4,67,5.4
15,65.62,-118.02,6,12,3.51,126.2,56.8,177,3.3
18,65.79,-118.08,6,10,2.51,141.5,53,118,4.5
19,65.79,-118.07,6,8,0.35,116.9,52.6,33,9.7
21,65.7,-118.07,6,12,1.89,162,52.9,143,3.6
22,65.7,-118.07,6,12,3.12,136.1,59.8,90,4.6
23,65.7,-118.07,6,12,17.9,124.9,53.9,155,3.5
26,65.63,-118.12,6,12,6.6,151.2,57.2,151,3.5
27,65.68,-118.15,6,12,2.93,170.5,76.4,20,10
30,65.63,-118.13,6,11,6.47,146.6,53.3,51,6.5
31,65.58,-117.98,3,6,4.82,118,50.6,145,5.6
34,65.7,-118.05,7,13,5.17,130.7,59.6,266,2.5
37,65.67,-118.13,6,11,4.9,114.3,51,202,3.2
172,66.05,-117.83,8,15,6.13,129.1,60.5,69,4.6
24,65.65,-118.08,9,11,0.18,117.5,26.1,2,56.9
32,65.07,-118.07,6,10,0.06,148.8,19.6,269,2.9
33,65.07,-118.07,7,9,0.6,131.5,59.6,104,5.1
35,65.07,-118.05,7,12,0.91,121,60.6,87,4.7
36,65.07,-118.05,5,9,0.13,355.1,9.5,555,2.2
45,65.67,-118.15,7,14,1.19,280.4,4.4,123,3.6
