,labels,polarity_colors,U_Pb_zircon_dates,U_Pb_zircon_2sigmas,U_Pb_zircon_include,U_Pb_sample_mean,U_Pb_sample_2sigma
0,St. Cloud Granite,tomato,"[1783.1367254257202, 1782.3463678359985, 1782.1139097213745, 1781.6561460494995, 1781.180500984192, 1781.1661958694458, 1780.7728052139282, 1780.6226015090942]","[1.795646829073797, 1.5743504654696105, 1.5240253125529302, 2.2507336662890016, 1.2526262740724619, 1.198790697499181, 1.2620252044738398, 1.3469616612024553]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1781.4398371840275,0.5093996022512666
1,Quartz-Porphyry Dike,#D98880,"[1781.2806367874146, 1781.2198400497437, 1781.0159921646118, 1780.9194326400757, 1780.81214427948, 1780.6476354599, 1780.3329229354858, 1779.9752950668335]","[1.1632660882412191, 1.1685064447363733, 1.2428218467593055, 1.3891611013202705, 2.720312159180397, 1.2004661656078628, 1.1205431112036819, 1.31046503696887]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1780.781029791209,0.45432248426104715
2,Richmond Granite,orange,"[1777.7222394943237, 1777.4397134780884, 1777.0963907241821, 1777.0391702651978, 1776.5599489212036, 1775.9841680526733, 1775.9555578231812, 1774.0672826766968]","[1.2923184148519276, 1.6041174423107187, 1.2197975385783997, 1.3944023633157885, 1.2480294686280147, 1.2254312649671473, 1.1925081427496604, 1.174008156897105]","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",1776.7598124344586,0.48882794154857445
